rank,priority_score,provider,normalized_id,doi,openalex_id,arxiv_id,s2_paper_id,external_id_sample,citing_paper_count,high_value_categories,evidence_gap_reasons,top_citing_papers,top_citing_titles,provider_backfill_strategy,claim_scope,evidence_grade,uncertainty_reasons_json
1,2695.0194,openalex,W4285719527,,W4285719527,,,W4285719527,132,branch_split_driver;cluster_representative;future edge source;future edge target;future_endpoint;main_path_node;resolution_evidence;top_keystone;topic;topic_gap,branch_split_driver;future edge source;future edge target;future_endpoint;main_path_node;resolution_evidence;topic_gap:metalens:future_candidates_missing_claim_card;topic_gap:metalens:key_turning_paper_weak_section_provenance;topic_gap:metasurface holography:future_candidates_missing_claim_card;topic_gap:photonic crystal cavity:future_candidates_missing_claim_card;topic_gap:quantum light source:future_candidates_missing_claim_card;topic_gap_claim_card_inputs;topic_gap_key_turning_section;topic_gap_queue,01KS6F5Z1F33SR77NWE7BDK2J0;01KS6GKPAZPCBT8T8BN9FCY29H;01KS6HVAB876FC1S19KQ8ZP1G5;01KS6JFBARHM65M3KTHSD1CN8F;01KS6J8B2560Y9XZBTDQG45MS0;01KS6FF4DT04HN8A6MYGCSWA1B;01KS6GKABJVFBQCEXJ1P6D3EZA;01KS6GGJ68BRTVX7D2D31XMZDM,Optical frequency comb generation from a monolithic microresonator;Temporal solitons in optical microresonators;An Ultra-high Numerical Aperture Metalens at Visible Wavelengths;Higher-order non-Hermitian skin effect;Integrated turnkey soliton microcombs operated at CMOS frequencies;Frequency Comb Assisted Diode Laser Spectroscopy for Measurement of Microcavity Dispersion;Goos-Hänchen and Imbert-Fedorov beam shifts: An overview;Mid-infrared frequency combs,"Fetch the OpenAlex Work by W ID, add its provider IDs and references, then rerun exact reference relinking.",evidence_frontfill_task,missing_local_cited_work,"[""cited work is referenced by high-value local papers but is missing from the local corpus"", ""backfill target is an evidence acquisition task, not a scientific conclusion"", ""exact provider ID still needs metadata ingestion before it can support citation evolution claims""]"
2,2671.2794,doi,10.1007/3-540-46629-0_9,10.1007/3-540-46629-0_9,,,,10.1007/3-540-46629-0_9,98,branch_split_driver;cluster_representative;future edge source;future edge target;future_endpoint;limitation_evidence;main_path_node;resolution_evidence;top_keystone;topic;topic_gap,branch_split_driver;future edge source;future edge target;future_endpoint;limitation_evidence;main_path_node;resolution_evidence;topic_gap:metalens:future_candidates_missing_claim_card;topic_gap:metasurface holography:future_candidates_missing_claim_card;topic_gap:photonic crystal cavity:future_candidates_missing_claim_card;topic_gap:quantum light source:future_candidates_missing_claim_card;topic_gap_claim_card_inputs,01KS6F5Z1F33SR77NWE7BDK2J0;01KS6H5WWPR7AJKNAZNS6JRKD4;01KS6H85VFNWJ1EV0FZFABKKYT;01KS6HKPGPW7X3ZW284AY1FHAQ;01KS6HY07CARP9SS97FB4ZCCY2;01KS6H565DBNAXSSB41B3J7G00;01KS6HR6XESGN3ZCH5X6PHTB2H;01KS6H5T5PZEHBEDH3XBJGAXAQ,Optical frequency comb generation from a monolithic microresonator;Raman induced soliton self-frequency shift in microresonator Kerr frequency combs;Efficient and low-noise single-photon-level frequency conversion interfaces using silicon nanophotonics;Mid-infrared frequency comb generation with silicon nitride nano-photonic waveguides;Experimental realization of a Weyl exceptional ring;Frequency-agile dual-comb spectroscopy;An ultrafast electro-optic light source with sub-cycle precision;Broadband dispersion engineered microresonator on-a-chip,"Resolve DOI through Crossref/OpenAlex, insert the canonical work, then rerun exact reference relinking.",evidence_frontfill_task,missing_local_cited_work,"[""cited work is referenced by high-value local papers but is missing from the local corpus"", ""backfill target is an evidence acquisition task, not a scientific conclusion"", ""exact provider ID still needs metadata ingestion before it can support citation evolution claims""]"
3,2656.9969,doi,10.1038/416233a,10.1038/416233a,,,,10.1038/416233a,83,branch_split_driver;cluster_representative;future edge source;future edge target;future_endpoint;limitation_evidence;main_path_node;resolution_evidence;top_keystone;topic;topic_gap,branch_split_driver;future edge source;future edge target;future_endpoint;limitation_evidence;main_path_node;resolution_evidence;topic_gap:metalens:future_candidates_missing_claim_card;topic_gap:metasurface holography:future_candidates_missing_claim_card;topic_gap:photonic crystal cavity:future_candidates_missing_claim_card;topic_gap:quantum light source:future_candidates_missing_claim_card;topic_gap_claim_card_inputs,01KS6F5Z1F33SR77NWE7BDK2J0;01KS6H0WA71K3Q7X4Q0F6ZGGWG;01KS6HBGDWVZQJ1ZKB6VD4SYWV;01KS6GBH08KPD3D34SN4M7NRM4;01KS6HGVTH5VB2B2Z400V83NCY;01KS6HNKHTFGEKMXP3RF3M47D0;01KS6HVC3TGSFVPZQP0X902CEB;01KS6G9J6032GC8AX0SHQH1EFT,Optical frequency comb generation from a monolithic microresonator;Photonic chip based optical frequency comb using soliton induced Cherenkov radiation;Thermally Controlled Comb Generation and Soliton Modelocking in Microresonators;Octave-spanning frequency comb generation in a silicon nitride chip;Stably accessing octave-spanning microresonator frequency combs in the soliton regime;Ultrafast optical ranging using microresonator soliton frequency combs;Ultralow-power chip-based soliton microcombs for photonic integration;Spectral Line-by-Line Pulse Shaping of an On-Chip Microresonator Frequency Comb,"Resolve DOI through Crossref/OpenAlex, insert the canonical work, then rerun exact reference relinking.",evidence_frontfill_task,missing_local_cited_work,"[""cited work is referenced by high-value local papers but is missing from the local corpus"", ""backfill target is an evidence acquisition task, not a scientific conclusion"", ""exact provider ID still needs metadata ingestion before it can support citation evolution claims""]"
4,2655.1411,openalex,W2078171652,,W2078171652,,,W2078171652,136,branch_split_driver;cluster_representative;future edge source;future edge target;future_endpoint;limitation_evidence;main_path_node;resolution_evidence;top_keystone;topic;topic_gap,branch_split_driver;future edge source;future edge target;future_endpoint;limitation_evidence;main_path_node;resolution_evidence;topic_gap:metalens:future_candidates_missing_claim_card;topic_gap:metasurface holography:future_candidates_missing_claim_card;topic_gap:photonic crystal cavity:future_candidates_missing_claim_card;topic_gap:quantum light source:future_candidates_missing_claim_card;topic_gap_claim_card_inputs;topic_gap_queue,01KS6GKPAZPCBT8T8BN9FCY29H;01KS6HE5D5W71A1GB9G2MXXT75;01KS6HP5WF1X9FFFCHTFYBGTGB;01KS6HG0RZ7V2A8B99JZ78CD9R;01KS6GKQK1Y4S7EMFB2FR9H48M;01KS6GX5A2SX4R0K9P0QNGX9T1;01KS6H0WA71K3Q7X4Q0F6ZGGWG;01KS6HFYZKZMKPZ083T1KHNKNW,Temporal solitons in optical microresonators;Microresonator Soliton Dual-Comb Spectroscopy;An Integrated-Photonics Optical-Frequency Synthesizer;Microresonator solitons for massively parallel coherent optical communications;Modeling of octave-spanning Kerr frequency combs using a generalized mean-field Lugiato-Lefever model;Mode interaction aided excitation of dark solitons in microresonators constructed of normal dispersion waveguides;Photonic chip based optical frequency comb using soliton induced Cherenkov radiation;Soliton crystals in Kerr resonators,"Fetch the OpenAlex Work by W ID, add its provider IDs and references, then rerun exact reference relinking.",evidence_frontfill_task,missing_local_cited_work,"[""cited work is referenced by high-value local papers but is missing from the local corpus"", ""backfill target is an evidence acquisition task, not a scientific conclusion"", ""exact provider ID still needs metadata ingestion before it can support citation evolution claims""]"
5,2649.0,doi,10.1364/ao.5.001595,10.1364/ao.5.001595,,,,10.1364/AO.5.001595,122,branch_split_driver;cluster_representative;future edge source;future edge target;future_endpoint;limitation_evidence;main_path_node;resolution_evidence;top_keystone;topic;topic_gap,branch_split_driver;future edge source;future edge target;future_endpoint;limitation_evidence;main_path_node;resolution_evidence;topic_gap:metalens:future_candidates_missing_claim_card;topic_gap:metasurface holography:future_candidates_missing_claim_card;topic_gap:photonic crystal cavity:future_candidates_missing_claim_card;topic_gap:quantum light source:future_candidates_missing_claim_card;topic_gap_claim_card_inputs,01KS6GKPAZPCBT8T8BN9FCY29H;01KS6HSZ663Y6AT8FV8864P9M6;01KSE8Y08F65JPSRGMVVMQ4DBW;01KS6GKA9XW0XTAC1RF3BPNW8A;01KS6HSDN1PK57S01CNYT7E8QY;01KS6H3SRYJPDN69MBJ0PWFP4W;01KS6HVWJB273RX299VQNCXC9E;01KS6FNXDSC13BWH79KC4S8R5D,Temporal solitons in optical microresonators;Topological Photonics;Photonics of time-varying media;Spatiotemporal Model for Kerr Comb Generation in Whispering Gallery Mode Resonators;Outlook for inverse design in nanophotonics;Solitons and frequency combs in silica microring resonators: Interplay of the Raman and higher-order dispersion effects;Superconducting cavity electro-optics: a platform for coherent photon conversion between superconducting and photonic circuits;Second-Harmonic Generation in Silicon Nitride Ring Resonators,"Resolve DOI through Crossref/OpenAlex, insert the canonical work, then rerun exact reference relinking.",evidence_frontfill_task,missing_local_cited_work,"[""cited work is referenced by high-value local papers but is missing from the local corpus"", ""backfill target is an evidence acquisition task, not a scientific conclusion"", ""exact provider ID still needs metadata ingestion before it can support citation evolution claims""]"
6,2645.9204,openalex,W2056908124,,W2056908124,,,W2056908124,77,branch_split_driver;cluster_representative;future edge source;future edge target;future_endpoint;limitation_evidence;main_path_node;resolution_evidence;top_keystone;topic;topic_gap,branch_split_driver;future edge source;future edge target;future_endpoint;limitation_evidence;main_path_node;resolution_evidence;topic_gap:metalens:future_candidates_missing_claim_card;topic_gap:metasurface holography:future_candidates_missing_claim_card;topic_gap:photonic crystal cavity:future_candidates_missing_claim_card;topic_gap:quantum light source:future_candidates_missing_claim_card;topic_gap_claim_card_inputs,01KS6F5Z1F33SR77NWE7BDK2J0;01KS6H0WA71K3Q7X4Q0F6ZGGWG;01KS6GDDS2EYMDC51Y6RAAVFKZ;01KS6HBGDWVZQJ1ZKB6VD4SYWV;01KS6GBH08KPD3D34SN4M7NRM4;01KS6HGVTH5VB2B2Z400V83NCY;01KS6GT92VWP4TSQ940KEGNJXS;01KS6HNKHTFGEKMXP3RF3M47D0,Optical frequency comb generation from a monolithic microresonator;Photonic chip based optical frequency comb using soliton induced Cherenkov radiation;Universal Dynamics of Kerr Frequency Comb Formation in Microresonators;Thermally Controlled Comb Generation and Soliton Modelocking in Microresonators;Octave-spanning frequency comb generation in a silicon nitride chip;Stably accessing octave-spanning microresonator frequency combs in the soliton regime;Mode spectrum and temporal soliton formation in optical microresonators;Ultrafast optical ranging using microresonator soliton frequency combs,"Fetch the OpenAlex Work by W ID, add its provider IDs and references, then rerun exact reference relinking.",evidence_frontfill_task,missing_local_cited_work,"[""cited work is referenced by high-value local papers but is missing from the local corpus"", ""backfill target is an evidence acquisition task, not a scientific conclusion"", ""exact provider ID still needs metadata ingestion before it can support citation evolution claims""]"
7,2645.6707,doi,10.1038/nature01939,10.1038/nature01939,,,,10.1038/nature01939,72,branch_split_driver;cluster_representative;future edge source;future edge target;future_endpoint;limitation_evidence;main_path_node;resolution_evidence;top_keystone;topic;topic_gap,branch_split_driver;future edge source;future edge target;future_endpoint;limitation_evidence;main_path_node;resolution_evidence;topic_gap:metalens:future_candidates_missing_claim_card;topic_gap:metasurface holography:future_candidates_missing_claim_card;topic_gap:photonic crystal cavity:future_candidates_missing_claim_card;topic_gap:photonic crystal cavity:key_turning_paper_missing_primary_section;topic_gap:photonic crystal cavity:missing_bottleneck_section_evidence:mode volume;topic_gap:quantum light source:future_candidates_missing_claim_card;topic_gap_bottleneck_evidence;topic_gap_claim_card_inputs;topic_gap_key_turning_section,01KS6F5Z1F33SR77NWE7BDK2J0;01KS6GKPAZPCBT8T8BN9FCY29H;01KS5KMDAC6220S2FEJCB6XVTB;01KS6J98WVGDD9V1Q5N23519KH;01KS6JG3VE14K4GFWYJE2ACP0E;01KS6HJJN9CR5NQ54KC6G06YG7;01KS6GRP0D2J40EDVZBW8V1B6Y;01KS6F7HSKW0TZQVP0AD1G9KCE,Optical frequency comb generation from a monolithic microresonator;Temporal solitons in optical microresonators;Silicon-based photonic crystal nanocavity light emitters;Exceptional Topology of Non-Hermitian Systems;Hertz-linewidth semiconductor lasers using CMOS-ready ultra-high-$Q$ microresonators;Bridging ultra-high-Q devices and photonic circuits;Nonreciprocal light transmission in parity-time-symmetric whispering-gallery microcavities;Cavity Optomechanics,"Resolve DOI through Crossref/OpenAlex, insert the canonical work, then rerun exact reference relinking.",evidence_frontfill_task,missing_local_cited_work,"[""cited work is referenced by high-value local papers but is missing from the local corpus"", ""backfill target is an evidence acquisition task, not a scientific conclusion"", ""exact provider ID still needs metadata ingestion before it can support citation evolution claims""]"
8,2642.7921,openalex,W4211100070,,W4211100070,,,W4211100070,74,branch_split_driver;cluster_representative;future edge source;future edge target;future_endpoint;limitation_evidence;main_path_node;resolution_evidence;top_keystone;topic;topic_gap,branch_split_driver;future edge source;future edge target;future_endpoint;limitation_evidence;main_path_node;resolution_evidence;topic_gap:metalens:future_candidates_missing_claim_card;topic_gap:metasurface holography:future_candidates_missing_claim_card;topic_gap:photonic crystal cavity:future_candidates_missing_claim_card;topic_gap:photonic crystal cavity:key_turning_paper_missing_primary_section;topic_gap:quantum light source:future_candidates_missing_claim_card;topic_gap_claim_card_inputs;topic_gap_key_turning_section;topic_gap_queue,01KS6F5Z1F33SR77NWE7BDK2J0;01KS6GKPAZPCBT8T8BN9FCY29H;01KS6J98WVGDD9V1Q5N23519KH;01KS6FGD433ZJXYBXPYVZ727SG;01KS6JG3VE14K4GFWYJE2ACP0E;01KS6F6CER6Q6DCD2526C5P0F2;01KRCY8M0VDX5C9VF9G1P371R1;01KS6F9G0Z82VKQZ1AVVX80F2C,Optical frequency comb generation from a monolithic microresonator;Temporal solitons in optical microresonators;Exceptional Topology of Non-Hermitian Systems;Demonstration of an air-slot mode-gap confined photonic crystal slab nanocavity with ultrasmall mode volumes;Hertz-linewidth semiconductor lasers using CMOS-ready ultra-high-$Q$ microresonators;Combining directional light output and ultralow loss in deformed microdisks;Synthetic-reflection self-injection-locked microcombs;Goos-Haenchen shift and localization of optical modes in deformed microcavities,"Fetch the OpenAlex Work by W ID, add its provider IDs and references, then rerun exact reference relinking.",evidence_frontfill_task,missing_local_cited_work,"[""cited work is referenced by high-value local papers but is missing from the local corpus"", ""backfill target is an evidence acquisition task, not a scientific conclusion"", ""exact provider ID still needs metadata ingestion before it can support citation evolution claims""]"
9,2636.8706,doi,10.1364/opex.12.004742,10.1364/opex.12.004742,,,,10.1364/OPEX.12.004742,64,branch_split_driver;cluster_representative;future edge source;future edge target;future_endpoint;limitation_evidence;main_path_node;resolution_evidence;top_keystone;topic;topic_gap,branch_split_driver;future edge source;future edge target;future_endpoint;limitation_evidence;main_path_node;resolution_evidence;topic_gap:metalens:future_candidates_missing_claim_card;topic_gap:metasurface holography:future_candidates_missing_claim_card;topic_gap:photonic crystal cavity:future_candidates_missing_claim_card;topic_gap:quantum light source:future_candidates_missing_claim_card;topic_gap_claim_card_inputs,01KS6F5Z1F33SR77NWE7BDK2J0;01KS6GKPAZPCBT8T8BN9FCY29H;01KS6HG0RZ7V2A8B99JZ78CD9R;01KS6GX5A2SX4R0K9P0QNGX9T1;01KS6HFYZKZMKPZ083T1KHNKNW;01KS6GBH08KPD3D34SN4M7NRM4;01KS6HGVTH5VB2B2Z400V83NCY;01KS6HMC4QWM32A4X4JJ43Q5X2,Optical frequency comb generation from a monolithic microresonator;Temporal solitons in optical microresonators;Microresonator solitons for massively parallel coherent optical communications;Mode interaction aided excitation of dark solitons in microresonators constructed of normal dispersion waveguides;Soliton crystals in Kerr resonators;Octave-spanning frequency comb generation in a silicon nitride chip;Stably accessing octave-spanning microresonator frequency combs in the soliton regime;Soliton Microcomb Range Measurement,"Resolve DOI through Crossref/OpenAlex, insert the canonical work, then rerun exact reference relinking.",evidence_frontfill_task,missing_local_cited_work,"[""cited work is referenced by high-value local papers but is missing from the local corpus"", ""backfill target is an evidence acquisition task, not a scientific conclusion"", ""exact provider ID still needs metadata ingestion before it can support citation evolution claims""]"
10,2618.7077,doi,10.1103/physrevlett.93.083904,10.1103/physrevlett.93.083904,,,,10.1103/PHYSREVLETT.93.083904,49,branch_split_driver;cluster_representative;future edge source;future edge target;future_endpoint;limitation_evidence;main_path_node;resolution_evidence;top_keystone;topic;topic_gap,branch_split_driver;future edge source;future edge target;future_endpoint;limitation_evidence;main_path_node;resolution_evidence;topic_gap:metalens:future_candidates_missing_claim_card;topic_gap:metasurface holography:future_candidates_missing_claim_card;topic_gap:photonic crystal cavity:future_candidates_missing_claim_card;topic_gap:quantum light source:future_candidates_missing_claim_card;topic_gap_claim_card_inputs;topic_gap_queue,01KS6F5Z1F33SR77NWE7BDK2J0;01KS6GKPAZPCBT8T8BN9FCY29H;01KS6HE5D5W71A1GB9G2MXXT75;01KS6FHAFK22X5PTX321SZCXFH;01KS6HA4AHJ1J5J430FG2X96D0;01KS5KJ2V6E3872FTXTJMBJTRP;01KS6FF4DT04HN8A6MYGCSWA1B;01KS6HFHNXN2BK1P13MSP07C7T,Optical frequency comb generation from a monolithic microresonator;Temporal solitons in optical microresonators;Microresonator Soliton Dual-Comb Spectroscopy;Octave Spanning Frequency Comb on a Chip;Universal dynamics and controlled switching of dissipative Kerr solitons in optical microresonators;Emerging material systems for integrated optical Kerr frequency combs;Frequency Comb Assisted Diode Laser Spectroscopy for Measurement of Microcavity Dispersion;Breaking the Loss Limitation of On-chip High-confinement Resonators,"Resolve DOI through Crossref/OpenAlex, insert the canonical work, then rerun exact reference relinking.",evidence_frontfill_task,missing_local_cited_work,"[""cited work is referenced by high-value local papers but is missing from the local corpus"", ""backfill target is an evidence acquisition task, not a scientific conclusion"", ""exact provider ID still needs metadata ingestion before it can support citation evolution claims""]"
11,2617.9251,doi,10.1038/nphoton.2009.259,10.1038/nphoton.2009.259,,,,10.1038/NPHOTON.2009.259,87,branch_split_driver;cluster_representative;future edge source;future edge target;future_endpoint;limitation_evidence;main_path_node;resolution_evidence;top_keystone;topic;topic_gap,branch_split_driver;future edge source;future edge target;future_endpoint;limitation_evidence;main_path_node;resolution_evidence;topic_gap:metalens:future_candidates_missing_claim_card;topic_gap:metasurface holography:future_candidates_missing_claim_card;topic_gap:photonic crystal cavity:future_candidates_missing_claim_card;topic_gap:quantum light source:future_candidates_missing_claim_card;topic_gap_claim_card_inputs,01KS6GKPAZPCBT8T8BN9FCY29H;01KS6HP5WF1X9FFFCHTFYBGTGB;01KS6HG0RZ7V2A8B99JZ78CD9R;01KS6GX5A2SX4R0K9P0QNGX9T1;01KS6H0WA71K3Q7X4Q0F6ZGGWG;01KS6GDDS2EYMDC51Y6RAAVFKZ;01KS6HV3PE13V5KH9XQNXYD1NS;01KS6GBH08KPD3D34SN4M7NRM4,Temporal solitons in optical microresonators;An Integrated-Photonics Optical-Frequency Synthesizer;Microresonator solitons for massively parallel coherent optical communications;Mode interaction aided excitation of dark solitons in microresonators constructed of normal dispersion waveguides;Photonic chip based optical frequency comb using soliton induced Cherenkov radiation;Universal Dynamics of Kerr Frequency Comb Formation in Microresonators;Fully integrated ultra-low power Kerr comb generation;Octave-spanning frequency comb generation in a silicon nitride chip,"Resolve DOI through Crossref/OpenAlex, insert the canonical work, then rerun exact reference relinking.",evidence_frontfill_task,missing_local_cited_work,"[""cited work is referenced by high-value local papers but is missing from the local corpus"", ""backfill target is an evidence acquisition task, not a scientific conclusion"", ""exact provider ID still needs metadata ingestion before it can support citation evolution claims""]"
12,2617.4018,doi,10.1126/science.288.5466.635,10.1126/science.288.5466.635,,,,10.1126/SCIENCE.288.5466.635,48,branch_split_driver;cluster_representative;future edge source;future edge target;future_endpoint;main_path_node;resolution_evidence;top_keystone;topic;topic_gap,branch_split_driver;future edge source;future edge target;future_endpoint;main_path_node;resolution_evidence;topic_gap:metalens:future_candidates_missing_claim_card;topic_gap:metasurface holography:future_candidates_missing_claim_card;topic_gap:photonic crystal cavity:future_candidates_missing_claim_card;topic_gap:quantum light source:future_candidates_missing_claim_card;topic_gap_claim_card_inputs;topic_gap_queue,01KS6F5Z1F33SR77NWE7BDK2J0;01KS6HE5D5W71A1GB9G2MXXT75;01KS6G9J6032GC8AX0SHQH1EFT;01KS5KJ2V6E3872FTXTJMBJTRP;01KS6HGTHZRF45D4V1Q9DXTHJ2;01KS6HP9WAMZY601A767EGNZE7;01KS5KHSV5K2212QCDTAPTBR5Q;01KS6HCJHGXH85JXRSC1PNCC0P,Optical frequency comb generation from a monolithic microresonator;Microresonator Soliton Dual-Comb Spectroscopy;Spectral Line-by-Line Pulse Shaping of an On-Chip Microresonator Frequency Comb;Emerging material systems for integrated optical Kerr frequency combs;On-chip dual comb source for spectroscopy;Thermal and Nonlinear Dissipative-Soliton Dynamics in Kerr Microresonator Frequency Combs;Ultralow-Noise Photonic Microwave Synthesis using a Soliton Microcomb-based Transfer Oscillator;Self-referencing of an on-chip soliton Kerr frequency comb without external broadening,"Resolve DOI through Crossref/OpenAlex, insert the canonical work, then rerun exact reference relinking.",evidence_frontfill_task,missing_local_cited_work,"[""cited work is referenced by high-value local papers but is missing from the local corpus"", ""backfill target is an evidence acquisition task, not a scientific conclusion"", ""exact provider ID still needs metadata ingestion before it can support citation evolution claims""]"
13,2613.3985,doi,10.1038/nature01371,10.1038/nature01371,,,,10.1038/nature01371,45,branch_split_driver;cluster_representative;future edge source;future edge target;future_endpoint;limitation_evidence;main_path_node;resolution_evidence;top_keystone;topic;topic_gap,branch_split_driver;future edge source;future edge target;future_endpoint;limitation_evidence;main_path_node;resolution_evidence;topic_gap:metalens:future_candidates_missing_claim_card;topic_gap:metasurface holography:future_candidates_missing_claim_card;topic_gap:photonic crystal cavity:future_candidates_missing_claim_card;topic_gap:photonic crystal cavity:key_turning_paper_missing_primary_section;topic_gap:quantum light source:future_candidates_missing_claim_card;topic_gap_claim_card_inputs;topic_gap_key_turning_section;topic_gap_queue,01KS6F5Z1F33SR77NWE7BDK2J0;01KS6FGD433ZJXYBXPYVZ727SG;01KS5KJ2V6E3872FTXTJMBJTRP;01KS6FF4DT04HN8A6MYGCSWA1B;01KS6HFHNXN2BK1P13MSP07C7T;01KRCYNQZAFCR23D0ZQBQBTYPK;01KS6HJJN9CR5NQ54KC6G06YG7;01KS6GRP0D2J40EDVZBW8V1B6Y,Optical frequency comb generation from a monolithic microresonator;Demonstration of an air-slot mode-gap confined photonic crystal slab nanocavity with ultrasmall mode volumes;Emerging material systems for integrated optical Kerr frequency combs;Frequency Comb Assisted Diode Laser Spectroscopy for Measurement of Microcavity Dispersion;Breaking the Loss Limitation of On-chip High-confinement Resonators;Self-sustained microcomb lasing in an integrated hybrid oscillator;Bridging ultra-high-Q devices and photonic circuits;Nonreciprocal light transmission in parity-time-symmetric whispering-gallery microcavities,"Resolve DOI through Crossref/OpenAlex, insert the canonical work, then rerun exact reference relinking.",evidence_frontfill_task,missing_local_cited_work,"[""cited work is referenced by high-value local papers but is missing from the local corpus"", ""backfill target is an evidence acquisition task, not a scientific conclusion"", ""exact provider ID still needs metadata ingestion before it can support citation evolution claims""]"
14,2611.0819,openalex,W1554342785,,W1554342785,,,W1554342785,47,branch_split_driver;cluster_representative;future edge source;future edge target;future_endpoint;limitation_evidence;main_path_node;resolution_evidence;top_keystone;topic;topic_gap,branch_split_driver;future edge source;future edge target;future_endpoint;limitation_evidence;main_path_node;resolution_evidence;topic_gap:metalens:future_candidates_missing_claim_card;topic_gap:metasurface holography:future_candidates_missing_claim_card;topic_gap:photonic crystal cavity:future_candidates_missing_claim_card;topic_gap:photonic crystal cavity:key_turning_paper_missing_primary_section;topic_gap:quantum light source:future_candidates_missing_claim_card;topic_gap_claim_card_inputs;topic_gap_key_turning_section;topic_gap_queue,01KS6F5Z1F33SR77NWE7BDK2J0;01KS6FGD433ZJXYBXPYVZ727SG;01KS6HQHXVEX1CTCTVTV6RM92N;01KS5KJ2V6E3872FTXTJMBJTRP;01KS6FF4DT04HN8A6MYGCSWA1B;01KS6HFHNXN2BK1P13MSP07C7T;01KS6F6CER6Q6DCD2526C5P0F2;01KS6HJJN9CR5NQ54KC6G06YG7,Optical frequency comb generation from a monolithic microresonator;Demonstration of an air-slot mode-gap confined photonic crystal slab nanocavity with ultrasmall mode volumes;Harnessing optical micro-combs for microwave photonics;Emerging material systems for integrated optical Kerr frequency combs;Frequency Comb Assisted Diode Laser Spectroscopy for Measurement of Microcavity Dispersion;Breaking the Loss Limitation of On-chip High-confinement Resonators;Combining directional light output and ultralow loss in deformed microdisks;Bridging ultra-high-Q devices and photonic circuits,"Fetch the OpenAlex Work by W ID, add its provider IDs and references, then rerun exact reference relinking.",evidence_frontfill_task,missing_local_cited_work,"[""cited work is referenced by high-value local papers but is missing from the local corpus"", ""backfill target is an evidence acquisition task, not a scientific conclusion"", ""exact provider ID still needs metadata ingestion before it can support citation evolution claims""]"
15,2611.0819,openalex,W2116393805,,W2116393805,,,W2116393805,47,branch_split_driver;cluster_representative;future edge source;future edge target;future_endpoint;main_path_node;resolution_evidence;top_keystone;topic;topic_gap,branch_split_driver;future edge source;future edge target;future_endpoint;main_path_node;resolution_evidence;topic_gap:metalens:future_candidates_missing_claim_card;topic_gap:metasurface holography:future_candidates_missing_claim_card;topic_gap:photonic crystal cavity:future_candidates_missing_claim_card;topic_gap:quantum light source:future_candidates_missing_claim_card;topic_gap_claim_card_inputs;topic_gap_queue,01KS6F5Z1F33SR77NWE7BDK2J0;01KS6HE5D5W71A1GB9G2MXXT75;01KS6GDDS2EYMDC51Y6RAAVFKZ;01KS6V8Z70TM7A1F122VP63QZR;01KS6G9J6032GC8AX0SHQH1EFT;01KS6HQHXVEX1CTCTVTV6RM92N;01KS6FHAFK22X5PTX321SZCXFH;01KS6F92K84H08MVK5PECXK7K0,Optical frequency comb generation from a monolithic microresonator;Microresonator Soliton Dual-Comb Spectroscopy;Universal Dynamics of Kerr Frequency Comb Formation in Microresonators;Applications of integrated optical microcombs;Spectral Line-by-Line Pulse Shaping of an On-Chip Microresonator Frequency Comb;Harnessing optical micro-combs for microwave photonics;Octave Spanning Frequency Comb on a Chip;Optical combs with a crystalline whispering gallery mode resonator,"Fetch the OpenAlex Work by W ID, add its provider IDs and references, then rerun exact reference relinking.",evidence_frontfill_task,missing_local_cited_work,"[""cited work is referenced by high-value local papers but is missing from the local corpus"", ""backfill target is an evidence acquisition task, not a scientific conclusion"", ""exact provider ID still needs metadata ingestion before it can support citation evolution claims""]"
16,2609.7477,openalex,W2038400164,,W2038400164,,,W2038400164,46,branch_split_driver;cluster_representative;future edge source;future edge target;future_endpoint;limitation_evidence;main_path_node;resolution_evidence;top_keystone;topic;topic_gap,branch_split_driver;future edge source;future edge target;future_endpoint;limitation_evidence;main_path_node;resolution_evidence;topic_gap:metalens:future_candidates_missing_claim_card;topic_gap:metasurface holography:future_candidates_missing_claim_card;topic_gap:photonic crystal cavity:future_candidates_missing_claim_card;topic_gap:quantum light source:future_candidates_missing_claim_card;topic_gap_claim_card_inputs;topic_gap_queue,01KS6F5Z1F33SR77NWE7BDK2J0;01KS6GKPAZPCBT8T8BN9FCY29H;01KS6HE5D5W71A1GB9G2MXXT75;01KS6GDDS2EYMDC51Y6RAAVFKZ;01KS6HQHXVEX1CTCTVTV6RM92N;01KS6FHAFK22X5PTX321SZCXFH;01KS6HA4AHJ1J5J430FG2X96D0;01KS6F92K84H08MVK5PECXK7K0,Optical frequency comb generation from a monolithic microresonator;Temporal solitons in optical microresonators;Microresonator Soliton Dual-Comb Spectroscopy;Universal Dynamics of Kerr Frequency Comb Formation in Microresonators;Harnessing optical micro-combs for microwave photonics;Octave Spanning Frequency Comb on a Chip;Universal dynamics and controlled switching of dissipative Kerr solitons in optical microresonators;Optical combs with a crystalline whispering gallery mode resonator,"Fetch the OpenAlex Work by W ID, add its provider IDs and references, then rerun exact reference relinking.",evidence_frontfill_task,missing_local_cited_work,"[""cited work is referenced by high-value local papers but is missing from the local corpus"", ""backfill target is an evidence acquisition task, not a scientific conclusion"", ""exact provider ID still needs metadata ingestion before it can support citation evolution claims""]"
